,0,1,2,3,4,5,6,7,8,9,10,11
54,vjabeAhZ_mKKKy_QXjGe6g,grandview-diner-columbus,GrandviewDiner,https://www.yelp.com/biz/grandview-diner-columbus?adjust_creative=0DgQD6YAIRFieNeosDMLnA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0DgQD6YAIRFieNeosDMLnA,12,+16143753939,4861.5513961769,39.970385,-83.045096,4.5,"Diners, Sandwiches, Pizza",delivery
55,u8U6ZhRbOVSwtYxUSSFfdA,starbucks-columbus-65,Starbucks,https://www.yelp.com/biz/starbucks-columbus-65?adjust_creative=0DgQD6YAIRFieNeosDMLnA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0DgQD6YAIRFieNeosDMLnA,24,+16142466400,1961.0191140152,39.969240,-83.004888,4.0,Coffee & Tea,delivery
56,HNH6ZxMtEzZiIMp5-eH_SA,jordans-deli-gahanna,Jordan'sDeli,https://www.yelp.com/biz/jordans-deli-gahanna?adjust_creative=0DgQD6YAIRFieNeosDMLnA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0DgQD6YAIRFieNeosDMLnA,35,+16144785478,11009.6341385141,40.008076,-82.865356,4.0,"Delis, Sandwiches",delivery
57,zCmvXOpPofRMyjTWIDLlYA,l-ginger-columbus,LGinger,https://www.yelp.com/biz/l-ginger-columbus?adjust_creative=0DgQD6YAIRFieNeosDMLnA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0DgQD6YAIRFieNeosDMLnA,17,+16146705709,2602.7873269063,39.960329,-82.998164,3.5,"Buffets, Noodles, Soup",delivery
58,UeWO5s7Re9_xcajveo5esQ,poke-bros-columbus-3,PokeBros,https://www.yelp.com/biz/poke-bros-columbus-3?adjust_creative=0DgQD6YAIRFieNeosDMLnA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0DgQD6YAIRFieNeosDMLnA,28,+16149477859,2785.2218939855,40.003820,-83.008660,3.5,"Poke, Ramen",pickup
59,ultX3QNoRnSIpTE4z9mivQ,coaches-bar-and-grill-columbus,CoachesBar&Grill,https://www.yelp.com/biz/coaches-bar-and-grill-columbus?adjust_creative=0DgQD6YAIRFieNeosDMLnA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0DgQD6YAIRFieNeosDMLnA,60,+16144573353,10803.9971383860,40.063915,-83.059540,4.0,"American (Traditional), Sports Bars","pickup, delivery"
60,HpBFvqv2nJ9-dxS98hi4tA,the-beeline-columbus,TheBeeline,https://www.yelp.com/biz/the-beeline-columbus?adjust_creative=0DgQD6YAIRFieNeosDMLnA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0DgQD6YAIRFieNeosDMLnA,62,+16145325071,10361.7451228353,40.026592,-82.926575,4.0,Bars,
61,NcYqBv0IVqPh5V_tQ1wgMA,woodlands-backyard-columbus,Woodland'sBackyard,https://www.yelp.com/biz/woodlands-backyard-columbus?adjust_creative=0DgQD6YAIRFieNeosDMLnA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0DgQD6YAIRFieNeosDMLnA,51,+16144882114,4948.3762553740,39.969989,-83.046004,3.5,"Sports Bars, American (Traditional), Venues & Event Spaces",delivery
62,G83WoxmXuoAGCd8OVMKCvA,el-ranchito-columbus,ElRanchito,https://www.yelp.com/biz/el-ranchito-columbus?adjust_creative=0DgQD6YAIRFieNeosDMLnA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0DgQD6YAIRFieNeosDMLnA,73,+16149759164,7128.2512644193,39.930423,-83.038347,4.5,Mexican,"pickup, delivery"
63,-Th7Avg3VRJliWTXtzbffQ,condado-tacos-columbus-8,CondadoTacos,https://www.yelp.com/biz/condado-tacos-columbus-8?adjust_creative=0DgQD6YAIRFieNeosDMLnA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0DgQD6YAIRFieNeosDMLnA,388,+16145325956,10094.6565145645,40.052554,-82.914310,4.0,"Tacos, Bars, Tex-Mex","pickup, delivery"
64,rZv9_uHi8eCHw5pGb56N0Q,alley-burger-columbus,AlleyBurger,https://www.yelp.com/biz/alley-burger-columbus?adjust_creative=0DgQD6YAIRFieNeosDMLnA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0DgQD6YAIRFieNeosDMLnA,62,+16149295255,2394.8015324685,39.962886,-83.000574,3.5,Burgers,"pickup, delivery"
